Hanja	Reading(s)	Meaning(s)	Grade
校	교 	학교 	8
軍	군 	군사 	8
年	년(연), 녕(영)	해 아첨할	8
萬	만 	일만 	8
民	민 	백성 	8
四	사 	넉 	8
西	서 	서녘 	8
室	실 	집 	8
外	외 	바깥 	8
日	일 	날 	8
中	중 	가운데 	8
土	토, 두, 차	흙, 뿌리, 쓰레기	8
兄	형, 황 	형, 두려워할 	8
敎	교 	가르칠 	8
金	김 	쇠 금, 성씨 	8
大	대, 대, 태, 다	클, 큰, 클, 클	8
母	모 	어머니 	8
白	백 	흰 	8
山	산 	뫼 	8
先	선 	먼저 	8
十	십 	열 	8
月	월 	달 	8
一	일 	한 	8
靑	청 	푸를 	8
八	팔 	여덟 	8
火	화 	불 	8
九	구, 규	아홉, 모을 	8
南	남, 나 	남녘, 나무	8
東	동 	동녘 	8
木	목 	나무 	8
父	부, 부, 보	아버지, 아비, 자	8
三	삼 	석 	8
小	소 	작을 	8
五	오 	다섯 	8
二	이 	두 	8
長	장,  장 	길 어른	8
寸	촌 	마디 	8
學	학, 교, 교	배울, 가르칠, 고지새 할  	8
國	 국	나라	8
女	녀(여)	여자	8
六	륙(육)	여섯	8
門	 문	문	8
北	북, 배	북녘 달아날 	8
生	 생	날	8
水	 수	물	8
王	왕, 옥	임금, 옥	8
人	 인	사람	8
弟	제, 퇴	아우, 기울어질	8
七	 칠	일곱	8
韓	한	한국, 나라	8
家	가, 고	집, 여자	7
間	간	사이	7
江	강	강	7
車	거, 차	수레, 수레	7
空	공	빌	7
工	공	장인	7
記	기	기록할	7
氣	기, 희	기운, 보낼	7
男	남	사내	7
內	내, 납	안, 들일	7
農	농	농사	7
答	답	대답	7
道	도	길	7
動	동	움직일	7
力	력(역)	힘	7
立	립(입), 위	설, 자리	7
每	매	매양	7
名	명	이름	7
物	물	물건	7
方	방, 방, 망	모, 본뜰, 괴물	7
事	사	일	7
上	상	윗	7
姓	성	성씨	7
世	세, 세	인간, 대	7
手	수	손	7
時	시	때	7
市	시	저자	7
食	식, 식, 사, 이	밥, 먹을, 먹이, 사람 이름	7
安	안	편안	7
午	오	낮	7
右	우, 우	오른쪽, 도울	7
自	자	스스로	7
子	자	아들	7
場	장	마당	7
電	전	번개	7
前	전, 전	앞, 자를	7
全	전	온전할	7
正	정, 정	바를, 정월	7
足	족, 주	발, 지나칠	7
左	좌	왼	7
直	직, 치	곧을, 값	7
平	평, 편	평평할, 다스릴	7
下	하	아래	7
漢	한, 한, 탄	한수, 한나라, 신년	7
海	해	바다	7
話	화	말씀	7
活	활, 괄	살, 물 콸콸 흐를	7
孝	효	효도	7
後	후, 후	뒤, 임금	7
歌	가	노래	7
口	구	입	7
旗	기	기	7
洞	동, 통	골, 밝을	7
同	동	한가지	7
冬	동, 동	겨울, 북소리	7
登	등	오를	7
來	래(내)	올	7
老	로(노)	늙을	7
里	리(이), 리(이)	마을, 속	7
林	림(임)	수풀	7
面	면, 면	낯, 밀가루	7
命	명	목숨	7
文	문	글월	7
問	문	물을	7
百	백, 맥	일백, 힘쓸	7
夫	부	지아비	7
算	산	셈	7
色	색	빛	7
夕	석, 사	저녁, 한 움큼	7
所	소	바	7
少	소, 소	적을, 젊을	7
數	수, 삭, 촉	셈, 자주, 촘촘할	7
植	식, 치	심을, 둘	7
心	심	마음	7
語	어	말씀	7
然	연, 연	그럴, 불탈	7
有	유	있을	7
育	육	기를	7
邑	읍, 압	고을, 아첨할	7
入	입	들	7
字	자	글자	7
祖	조, 조	할아버지, 조상	7
住	주	살	7
主	주, 주	임금, 주인	7
重	중, 동	무거울, 아이	7
紙	지	종이	7
地	지	땅	7
川	천	내	7
天	천	하늘	7
千	천, 천, 천	일천, 밭두둑, 그네	7
草	초	풀	7
村	촌	마을	7
秋	추, 추	가을, 밀치	7
春	춘, 준	봄, 움직일	7
出	출	날	7
便	편, 변	편할, 똥오줌	7
夏	하, 가	여름, 개오동나무	7
花	화	꽃	7
休	휴, 후	쉴, 따뜻하게 할	7
角	각, 록(녹), 곡	뿔, 사람 이름, 꿩 우는 소리	6
各	각	각각	6
計	계	셀	6
界	계	지경	6
高	고	높을	6
功	공	공	6
共	공	한가지	6
公	공	공평할	6
科	과	과목	6
果	과, 과, 관	실과, 열매, 강신제	6
光	광	빛	6
球	구	공	6
今	금	이제	6
急	급	급할	6
短	단	짧을	6
堂	당	집	6
對	대	대할	6
代	대	대신할	6
圖	도	그림	6
讀	독, 두	읽을, 구절	6
童	동, 종	아이, 땅 이름	6
等	등	무리	6
樂	락(낙), 악, 요	즐길, 노래, 좋아할	6
理	리(이)	다스릴	6
利	리(이)	이로울	6
明	명	밝을	6
聞	문	들을	6
班	반	나눌	6
反	반, 반, 번, 판	돌이킬, 돌아올, 어려울, 삼갈	6
半	반	반	6
發	발	필	6
放	방	놓을	6
部	부, 부	떼, 거느릴	6
分	분, 푼	나눌, 푼	6
社	사, 사	모일, 토지신	6
書	서	글	6
線	선	줄	6
雪	설	눈	6
省	성, 생	살필, 덜	6
成	성	이룰	6
消	소	사라질	6
術	술, 수	재주, 취락 이름	6
始	시	비로소	6
身	신, 건	몸, 나라 이름	6
神	신	귀신	6
新	신	새	6
信	신	믿을	6
藥	약, 삭, 략(약)	약, 뜨거울, 간 맞출	6
弱	약	약할	6
業	업	업	6
用	용	쓸	6
勇	용	날랠	6
運	운	옮길	6
飮	음	마실	6
音	음, 음	소리, 그늘	6
意	의, 억	뜻, 기억할	6
昨	작	어제	6
作	작, 저, 주	지을, 저주, 만들	6
才	재	재주	6
戰	전	싸움	6
庭	정	뜰	6
第	제	차례	6
題	제	제목	6
注	주, 주	부을, 주를 달	6
集	집	모을	6
窓	창, 총	창, 굴뚝	6
淸	청	맑을	6
體	체	몸	6
表	표, 표	겉, 시계	6
風	풍	바람	6
幸	행	다행	6
現	현	나타날	6
形	형	모양	6
和	화	화할	6
會	회	모일	6
感	감, 감	느낄, 한할	6
強	강	강할	6
開	개, 견	열, 평평할	6
京	경	서울	6
苦	고, 호	쓸, 땅 이름	6
