駕 멍에 가-
袈 가사 가
苛 가혹할 가:
稼 심을 가
嫁 시집갈 가
嘉 아름다울 가
哥 성씨 가
呵 꾸짖을 가:
殼 껍질 각
恪 삼갈 각
諫 간할 간:
艱 어려울 간
竿 장대 간
澗 산골물 간:
癎 간질 간-
揀 가릴 간:
奸 간사할 간
墾 개간할 간
褐 갈색/굵은베옷 갈
竭 다할 갈
喝 꾸짖을 갈
疳 감질 감
紺 감색 감
瞰 굽어볼 감
柑 귤 감
勘 헤아릴 감
堪 견딜 감
閘 수문 갑
匣 갑 갑
薑 생강 강
腔 빈속 강
糠 겨 강
慷 슬플 강:
芥 겨자 개
箇 낱 개
漑 물댈 개:
愾 성낼 개:
凱 개선할/즐길 개:
羹 국 갱:
醵 추렴할 갹/거-
渠 도랑 거
倨 거만할 거:
虔 공경할 건:
腱 힘줄 건
巾 수건 건
怯 겁낼 겁
劫 위협할 겁
偈 쉴/불시 게:
覡 박수 격
膈 흉격 격
檄 격문 격
鵑 두견이 견
譴 꾸짖을 견:
繭 고치 견:
鯨 고래 경
頸 목 경
莖 줄기 경
磬 경쇠 경:
脛 정강이 경
痙 경련 경
梗 줄기/막힐 경:
勁 굳셀 경
憬 깨달을/동경할 경:
悸 두근거릴 계:
錮 막을 고
膏 기름 고
袴 바지 고:
辜 허물 고
股 넓적다리 고
痼 고질병 고
拷 칠 고
敲 두드릴 고
叩 두드릴/조아릴 고
呱 울 고
鵠 고니/과녁 곡
梏 수갑 곡
昆 맏/벌레 곤
棍 몽둥이 곤
袞 곤룡포 곤
汨 빠질 골
拱 팔짱낄 공:
鞏 굳을 공
顆 낟알 과
藿 콩잎 곽
槨 외관 곽
廓 둘레 곽
灌 물댈 관
顴 광대뼈 관
棺 널 관
括 묶을 괄
刮 깎을 괄
胱 오줌통 광
曠 빌/밝을 광:
匡 바로잡을 광
壙 뫼구덩이 광:
罫 선 괘
卦 점괘 괘
魁 우두머리 괴
拐 속일 괴
乖 어그러질 괴
宏 클 굉
轟 울릴 굉
肱 팔뚝 굉
驕 교만할 교
轎 가마 교
皎 달밝을 교
狡 교활할 교
蛟 교룡 교
攪 흔들 교
嬌 아리따울 교
喬 높을 교
咬 새소리 교
鳩 비둘기 구
駒 망아지 구
廏 마구간 구
鉤 갈고리 구
軀 몸 구
舅 시아비 구
謳 노래할 구
衢 네거리 구
臼 절구 구
矩 곱자/모날/법도 구
溝 도랑 구
灸 뜸 구:
毆 때릴 구
柩 널 구
枸 구기자 구
嶇 험할 구
寇 도적 구
垢 때 구
仇 원수 구
嘔 토할 구-
窘 막힐 군:
躬 몸 궁
穹 하늘 궁
眷 돌볼 권:
捲 거둘/말 권
倦 게으를 권:
蹶 넘어질/일어설 궐
几 안석 궤:
櫃 상자 궤:
潰 무너질 궤:
机 책상 궤:
詭 속일 궤:
逵 길거리 규
葵 해바라기/아욱 규
硅 규소 규
窺 엿볼 규
橘 귤나무 귤
隙 틈 극
棘 가시 극
戟 창 극
剋 이길 극
覲 뵐 근
饉 주릴 근:
衾 이불 금:
襟 웃깃 금:
擒 사로잡을 금
汲 물길을 급
扱 미칠 급
矜 자랑할 긍:
亘 뻗칠 긍 / 베풀 선-
譏 나무랄 기
肌 살가죽 기
羈 굴레 기
杞 구기자 기
綺 비단 기
畸 뙈기밭 기 
崎 험할 기
朞 돌 기
妓 기생 기:
嗜 즐길 기
伎 재주 기
拮 일할 길
喫 마실 끽
拏 붙잡을 나:
拿 잡을 나:
懦 나약할 나:
儺 푸닥거리 나
煖 따뜻할 난:
捺 누를 날
捏 꾸밀 날
衲 기울 납
囊 주머니 낭
撚 비틀 년
涅 개흙 녈
駑 둔한말 노
弩 쇠뇌 노
膿 고름 농
撓 굽을 뇨
訥 말더듬을 눌
紐 맺을 뉴
匿 숨을 닉
蛋 새알 단:
緞 비단 단
簞 소쿠리 단
撻 때릴 달
疸 황달 달
曇 흐릴 담
譚 이야기 담
澹 맑을 담
痰 가래 담:
憺 참담할 담
遝 뒤섞일 답
棠 아가위 당
螳 사마귀 당
撞 칠 당
袋 자루 대
擡 들 대
鍍 도금할 도:
萄 포도 도
蹈 밟을 도
賭 도박 도
禱 빌 도
濤 물결 도
滔 물넘칠 도
睹 볼 도
淘 일 도
屠 죽일 도
搗 찧을 도
堵 담 도
掉 흔들 도
禿 대머리 독
瀆 도랑/더럽힐 독
沌 엉길 돈
胴 큰창자 동
瞳 눈동자 동:
疼 아플 동:
憧 동경할 동:
痘 천연두 두
兜 투구 두
遁 숨을 둔
臀 볼기 둔
橙 귤나무/등자나무 등
邏 순라 라
螺 소라 라
癩 나환자 라:
懶 게으를 라:
烙 지질 락
駱 낙타 락
酪 쇠젖 락
鸞 난새 란
瀾 물결 란
辣 매울 랄
剌 어그러질/발랄할 랄
籃 대바구니 람
蠟 밀랍 랍
臘 섣달 랍
狼 이리 랑
粱 기장 량
倆 재주 량
閭 마을 려
黎 검을 려
濾 거를 려:
侶 짝 려
戾 어그러질 려:
礫 조약돌 력
瀝 스밀 력
輦 가마 련
簾 발 렴
殮 염할 렴:
斂 거둘 렴
齡 나이 령
鈴 방울 령
囹 옥 령
逞 쾌할 령
虜 사로잡을 로
擄 노략질할 로
撈 건질 로
麓 산기슭 록
碌 푸른돌 록
聾 귀머거리 롱
瓏 옥소리 롱
壟 언덕 롱:
賂 뇌물 뢰
牢 우리 뢰
磊 돌무더기 뢰
儡 꼭두각시 뢰:
聊 애오라지 료
瞭 밝을 료
燎 횃불 료
寮 벼슬아치 료
寥 쓸쓸할 료
陋 더러울 루:
壘 보루 루
琉 유리 류
瘤 혹 류:
溜 낙숫물 류
戮 죽일 륙
綸 벼리 륜
淪 빠질 륜
慄 떨릴 률
勒 굴레 륵
肋 갈빗대 륵
凜 찰 름
菱 마름 릉
稜 모날 릉
綾 비단 릉
凌 능가할/업신여길 릉
釐 다스릴 리
悧 영리할 리
裡 속 리:
罹 걸릴 리
籬 울타리 리
痢 이질 리:
俚 속될 리:
燐 도깨비불 린
躪 짓밟을 린
鱗 비늘 린
吝 아낄 린
淋 임질/장마 림
粒 낟알 립
笠 삿갓 립
寞 고요할 막
鰻 뱀장어 만
蔓 덩굴 만
饅 만두 만
輓 끌 만
挽 당길 만
瞞 속일 만
彎 굽을 만
卍 만자 만
襪 버선 말
沫 물거품 말
抹 지울 말
惘 멍할 망
芒 까끄라기 망
呆 어리석을 매
邁 갈 매
罵 욕할 매:
煤 그을음 매
寐 잘 매:
昧 어두울 매
萌 싹 맹
眄 곁눈질할 면:
棉 목화 면
緬 가는실 면-
麪 밀가루 면
酩 술취할 명:
皿 그릇 명:
螟 멸구 명
溟 바다 명
暝 저물 명
袂 소매 몌
耗 줄을 모
糢 본뜰 모
牡 수컷 모
摸 찾을 모
歿 죽을 몰
猫 고양이 묘:
杳 아득할 묘
渺 아득할/물질펀할 묘:
描 그릴 묘:
誣 속일 무:
蕪 거칠 무
畝 이랑 무:
撫 어루만질 무-
毋 말 무
拇 엄지손가락 무:
憮 어루만질 무:
巫 무당 무
蚊 모기 문
靡 쓰러질 미
薇 장미/고비 미
媚 아첨할 미
悶 답답할 민
謐 고요할 밀
膊 팔뚝 박
搏 두드릴 박
縛 얽을 박
箔 발 박
撲 칠 박
剝 벗길 박
珀 호박 박
樸 순박할 박
粕 지게미 박
駁 논박할 박
槃 쟁반 반
斑 아롱질 반
礬 백반 반
絆 얽어맬 반
畔 밭두둑 반
蟠 서릴 반
頒 나눌 반
攀 더위잡을 반
拌 버릴 반
跋 밟을 발
勃 노할 발
魃 가물 발
醱 술괼 발
潑 물뿌릴 발
撥 다스릴 발
彷 헤맬 방-
尨 삽살개 방
謗 헐뜯을 방:
坊 동네 방
膀 오줌통 방
幇 도울 방
昉 밝을 방
肪 기름 방
榜 방붙일 방:
枋 다목 방
陪 모실 배:
胚 아기밸 배
湃 물결칠 배
徘 어정거릴 배
魄 넋 백
帛 비단 백
藩 울타리 번
蕃 불을 번
帆 돛 범:
梵 불경 범:
氾 넘칠 범:
泛 뜰 범:
癖 버릇 벽
劈 쪼갤 벽
闢 열 벽
擘 엄지손가락 벽
璧 구슬 벽
鼈 자라 별
瞥 눈깜짝할 별
甁 병 병
餠 떡 병: 
菩 보살 보
堡 작은성 보:
洑 보 보 / 스며흐를 복
鰒 전복 복
僕 종 복
匐 길 복
輻 바퀴살 복 / 폭
鋒 칼날 봉
烽 봉화 봉
捧 받들 봉
棒 막대 봉
賻 부의 부:
駙 부마 부:
訃 부고 부:
芙 연꽃 부
腑 육부 부
斧 도끼 부
埠 부두 부:
咐 분부할/불[吹] 부
剖 쪼갤 부:
俯 구부릴 부:
孵 알깔 부
扮 꾸밀 분
雰 눈날릴 분
盆 동이 분
焚 불사를 분
吩 분부할 분:
噴 뿜을 분
忿 성낼 분:
糞 똥 분
彿 비슷할 불
棚 사다리 붕
硼 붕사 붕
繃 묶을 붕
誹 헐뜯을 비
砒 비상 비:
妣 죽은어미 비
鄙 더러울 비:
譬 비유할 비:
裨 도울 비
臂 팔 비:
脾 지라 비-
翡 물총새 비:
扉 사립문 비
秕 쭉정이 비
痺 저릴 비
琵 비파 비
沸 끓을 비 / 용솟음할 불-
憊 고단할 비:
匕 비수 비:
蜚 바퀴/날 비
庇 덮을 비:
緋 비단 비:
殯 빈소 빈
濱 물가 빈
嬪 궁녀벼슬이름 빈
嚬 찡그릴 빈
瀕 물가/가까울 빈
憑 기댈 빙
些 적을 사
麝 사향노루 사:
祠 사당 사
紗 비단 사
嗣 이을 사:
奢 사치할 사
娑 춤출 / 사바세상 사
徙 옮길 사:
瀉 쏟을 사-
獅 사자 사-
蓑 도롱이 사
疝 산증 산
珊 산호 산
刪 깎을 산
撒 뿌릴 살
煞 죽일 살
薩 보살 살
滲 스밀 삼
澁 떫을 삽
爽 시원할 상:
翔 날 상
觴 잔 상
孀 홀어미 상
璽 옥새 새
嗇 아낄 색
牲 희생 생
甥 생질 생
抒 풀 서:
棲 깃들일 서:
