街 거리 가-
假 거짓/빌릴 가:
監 볼 감
減 덜 감:
講 외울 강:
康 편안할 강
個 낱 개-
檢 검사할 검:
缺 이지러질 결
潔 깨끗할 결
警 경계할 경:
經 글/지날 경
境 지경 경
慶 경사 경:
係 맬 계:
故 예 고-
官 벼슬 관
究 연구할 구
求 구할 구
句 글귀 구/귀
宮 집 궁
權 권리 권
極 다할 극
禁 금할 금:
起 일어날 기
器 그릇 기
難 어려울 난-
暖 따뜻할 난:
努 힘쓸 노
怒 성낼 노:
端 끝 단
檀 박달나무 단
斷 끊을 단:
單 홑 단
達 통달할 달
擔 멜 담
黨 무리 당
帶 띠 대-
隊 무리 대
導 인도할 도
督 감독할 독
毒 독 독
銅 구리 동
豆 콩 두
斗 말 두
得 얻을 득
燈 등잔 등
羅 벌일/그물 라
兩 두 량:
麗 고울 려
連 잇닿을 련
列 줄 렬
錄 기록할 록
論 논할 론
留 머무를 류
律 법 률
滿 찰 만-
脈 줄기 맥
毛 털 모
牧 칠 목
武 무인 무:
務 힘쓸 무:
未 아닐 미-
味 맛 미:
密 빽빽할 밀
博 넓을 박
防 막을 방
房 방 방
訪 찾을 방:
配 짝/나눌 배:
背 등/배반할 배:
拜 절 배:
罰 벌할 벌
伐 칠 벌
壁 벽 벽
邊 가 변
保 지킬 보-
報 갚을/알릴 보-
寶 보배 보:
步 걸음 보:
復 돌아올 복, 다시 부
婦 아내 부
富 부유할 부:
副 버금 부:
府 관청 부-
佛 부처 불
備 갖출 비:
非 아닐 비-
悲 슬플 비:
飛 날 비
貧 가난할 빈
師 스승 사
寺 절 사, 내관 시-
謝 사례할 사:
舍 집 사
殺 죽일 살, 빠를 쇄-
想 생각 상:
床 상 상
常 항상 상
狀 형상 상, 문서 장-
設 베풀 설
聖 신성할 성:
星 별 성
聲 소리 성
盛 성할 성:
誠 정성 성
城 재 성
稅 세금 세:
勢 형세 세:
細 가늘 세:
素 흴/바탕 소-
掃 쓸 소-
笑 웃을 소:
續 이을 속
俗 풍속 속
送 보낼 송:
收 거둘 수
修 닦을 수
授 줄 수
受 받을 수-
守 지킬 수
純 순수할 순
承 이을 승
施 베풀 시:
詩 시 시
試 시험할 시-
視 볼 시:
是 옳을/이 시:
息 쉴 식
申 아홉째지지/거듭/고할 신
深 깊을 심
眼 눈 안:
暗 어두울 암:
壓 억누를 압
液 진 액
羊 양 양
如 같을 여
餘 남을 여
逆 거스를 역
硏 갈 연:
演 펼 연:
煙 연기 연
榮 꽃 영
藝 재주 예:
誤 그르칠 오:
玉 구슬 옥
往 갈 왕:
謠 노래 요
容 용서할/얼굴 용
員 인원 원
圓 둥글 원
爲 할 위-
衛 지킬 위
肉 고기 육
恩 은혜 은
陰 그늘 음
應 응할 응:
義 옳을 의:
議 의논할 의-
移 옮길 이
益 더할 익
認 알 인
引 끌 인
印 도장 인
障 막을 장
將 장수 장-
低 낮을 저:
敵 적 적
田 밭 전
絶 끊을 절
接 이을 접
政 정사 정
精 정할 정
程 헤아릴 정
濟 건널 제:
制 절제할 제:
製 지을 제:
提 끌 제
祭 제사 제:
際 즈음 제:
除 덜 제
造 지을 조:
早 이를 조:
鳥 새 조
助 도울 조:
尊 높을 존
宗 마루/조상 종
走 달릴 주
竹 대나무 죽
準 준할 준:
衆 무리 중:
增 더할 증
支 지탱할 지
至 이를 지
指 가리킬/손가락 지
志 뜻 지
職 벼슬 직
進 나아갈 진:
眞 참 진
次 버금 차
察 살필 찰
創 비롯할 창:
處 곳 처:
請 청할 청
銃 총 총
總 다 총:
蓄 모을 축
築 쌓을/악기 축
蟲 벌레 충
忠 충성 충
取 취할 취:
測 헤아릴 측
齒 이 치
置 둘 치:
治 다스릴 치
侵 넘을 침
快 쾌할 쾌
態 모습 태:
統 거느릴 통:
退 물러날 퇴:
波 물결 파
破 깨뜨릴 파:
布 펼 포, 보시 보-
砲 대포 포:
包 쌀 포-
暴 사나울 폭/포-
票 표 표
豊 풍년 풍
限 한계 한:
航 배 항:
港 항구 항:
解 풀 해:
香 향기 향
鄕 시골 향
虛 빌 허
驗 시험할 험:
賢 어질 현
血 피 혈
協 화할 협
惠 은혜 혜:
護 지킬 호:
好 좋을 호:
戶 문 호:
呼 부를 호
貨 재화 화:
確 굳을 확
回 돌아올 회
吸 마실 흡
興 일 흥-
希 바랄 희
