暇 겨를 가:
覺 깨달을 각
刻 새길 각
簡 대쪽/간략할 간-
看 볼 간
干 방패/막을 간
甘 달 감
敢 감히 감:
甲 첫째천간/갑옷 갑
降 내릴 강:, 항복할 항
更 다시 갱:, 고칠 경
居 살 거
巨 클 거:
據 근거 거:
拒 막을 거:
傑 뛰어날 걸
儉 검소할 검:
擊 칠 격
激 격할 격
犬 개 견
堅 굳을 견
鏡 거울 경:
傾 기울 경
驚 놀랄 경
鷄 닭 계
系 이을 계:
階 섬돌 계
繼 이을 계:
季 철 계:
戒 경계할 계:
庫 창고 고
孤 외로울 고
穀 곡식 곡
困 곤할 곤:
骨 뼈 골
孔 구멍 공:
攻 칠 공:
管 대롱/주관할 관
鑛 쇳돌 광:
構 얽을 구
君 임금 군
群 무리 군
屈 굽힐 굴
窮 다할 궁
卷 책 권-
券 문서 권
勸 권할 권:
歸 돌아갈 귀:
均 고를 균
劇 연극/심할 극
筋 힘줄 근
勤 부지런할 근:
機 틀 기
紀 벼리 기
寄 부칠 기
奇 기이할 기
納 들일 납
段 층계 단
徒 무리 도
盜 도둑 도-
逃 달아날 도
卵 알 란:
亂 어지러울 란:
覽 볼 람
略 책략/간략할 략
糧 양식 량
慮 생각할 려:
烈 매울 렬
龍 용 룡
柳 버들 류-
輪 바퀴 륜
離 떠날 리:
妹 손아래누이 매
勉 힘쓸 면:
鳴 울 명
模 본뜰 모
妙 묘할 묘:
墓 무덤 묘
舞 춤출 무:
拍 칠 박
髮 터럭 발
妨 방해할 방
範 법 범:
犯 범할 범:
辯 말씀 변:
普 넓을 보:
伏 엎드릴 복
複 겹칠 복
負 질 부:
否 아닐 부:
粉 가루 분-
憤 분할 분:
碑 비석 비
祕 숨길 비:
批 비평할 비:
絲 실 사
射 쏠 사-
私 사사로울 사
辭 말씀 사
散 흩을 산:
象 코끼리/모양 상
傷 상할 상
宣 베풀 선
舌 혀 설
屬 무리 속
損 덜 손:
松 소나무 송
頌 기릴 송:
秀 빼어날 수
肅 엄숙할 숙
叔 아저씨 숙
崇 받들 숭
氏 성씨 씨
額 이마 액
樣 모양 양
嚴 엄할 엄
與 더불/줄 여:
易 바꿀 역, 쉬울 이:
域 지경 역
延 늘일 연
燃 불탈 연
鉛 납 연
緣 인연 연
營 경영할 영
映 비칠 영-
迎 맞을 영
豫 미리 예:
郵 우편 우
遇 만날 우:
優 넉넉할 우
源 근원 원
援 도울 원:
怨 원망할 원-
委 맡길 위
危 위태할 위
圍 에워쌀 위
威 위엄 위
慰 위로할 위
乳 젖 유
儒 선비 유
遺 남길 유
遊 놀 유
隱 숨을 은
疑 의심할 의
依 의지할 의
儀 모양 의
異 다를 이:
仁 어질 인
資 재물 자
姿 모양 자:
姉 윗누이 자
殘 잔인할/남을 잔
雜 섞일 잡
張 베풀 장
裝 꾸밀 장
腸 창자 장
帳 장막 장
奬 권장할 장-
壯 장할 장:
底 밑 저:
適 맞을 적
績 길쌈할/공적 적
賊 도둑 적
籍 문서 적
積 쌓을 적
轉 구를 전:
專 오로지 전
錢 돈 전:
折 꺾을 절
點 점 점-
占 점거할/점칠 점-
丁 넷째천간/고무래 정
整 가지런할 정:
靜 고요할 정
帝 임금 제:
組 짤 조
條 가지 조
潮 밀물 조
存 있을 존
鍾 쇠북 종
從 좇을 종-
座 자리 좌:
酒 술 주-
朱 붉을 주
周 두루 주
證 증명할 증
智 지혜 지
誌 기록할 지
持 가질 지
織 짤 직
珍 보배 진
陣 진칠 진
盡 다할 진:
差 다를 차, 어긋날 치
讚 기릴 찬:
採 캘 채:
冊 책 책
泉 샘 천
聽 들을 청
廳 관청 청
招 부를 초
推 밀 추/퇴
縮 줄일 축
就 나아갈 취:
趣 뜻 취:
層 층 층
針 바늘 침-
寢 잘 침:
稱 일컬을 칭
彈 탄알 탄:
歎 탄식할 탄:
脫 벗을 탈
探 찾을 탐
擇 가릴 택
討 칠 토-
痛 아플 통:
投 던질 투
鬪 싸울 투
派 갈래 파
判 판단할 판
篇 책 편
評 평할 평:
閉 닫을 폐:
胞 세포/여드름 포-
爆 터질 폭
標 표할 표
避 피할 피:
疲 피곤할 피
閑 한가할 한
恨 한 한:
抗 막을 항:
核 씨 핵
憲 법 헌:
險 험할 험:
革 가죽/고칠 혁
顯 나타날 현:
刑 형벌 형
或 혹시 혹
混 섞일 혼:
婚 혼인할 혼
紅 붉을 홍
華 빛날 화
環 고리 환-
歡 기쁠 환
況 하물며/상황 황:
灰 재 회
厚 두터울 후:
候 기후 후:
揮 휘두를 휘
喜 기쁠 희
