感 느낄 감:
強 강할 강-
開 열 개
京 서울 경
苦 쓸 고
古 예 고:
交 사귈 교
區 구분할 구
郡 고을 군:
近 가까울 근:
根 뿌리 근
級 등급 급
多 많을 다
待 기다릴 대:
度 법도/정도 도, 헤아릴 탁-
頭 머리 두
禮 예도 례:
例 법식 례:
路 길 로:
綠 푸를 록
李 오얏 리:
目 눈 목
美 아름다울 미-
米 쌀 미
朴 성씨/순박할 박
番 차례 번
別 다를 별
病 병 병:
服 옷 복
本 근본 본
死 죽을 사:
使 하여금/부릴 사:
石 돌 석
席 자리 석
速 빠를 속
孫 손자 손-
樹 나무 수
習 익힐 습
勝 이길 승
式 법 식
失 잃을 실
愛 사랑 애-
野 들 야:
夜 밤 야:
陽 볕 양
洋 큰바다 양
言 말씀 언
永 길 영:
英 꽃부리 영
溫 따뜻할 온
遠 멀 원:
園 동산 원
由 말미암을 유
油 기름 유
銀 은 은
醫 의원 의
衣 옷 의
者 놈 자
章 글 장
在 있을 재:
定 정할 정:
朝 아침 조
族 겨레 족
晝 낮 주
親 친할 친
太 클 태
通 통할 통
特 특별할 특
行 다닐 행, 항렬 항-
合 합할 합
向 향할 향:
號 부르짖을/이름 호-
畫 그림 화/그을 획-
黃 누를 황
訓 가르칠 훈:
